Track title,track lyrics,Release Year,composer ,Lyricist,Tokenized & Preprocessed Lyrics,Sentiment,Sentiment_Score,Emotion
اتسالين النجم,تسالين النجم دارى واين احبابى وسمارى دارى التى اغفت ربوه حالمه بالمجد والغار تفتح الزهر خدها فعطرت ايام اذار ضحيه الحسن وكم فتنه تجنى حسناء معطار جار عليها مدع بالهوى جور عدو فى الحمى ضار والشعب حاكم باسمه يظلمه ظلم سنمار فى عينه دمعه باك وفى راحته سكين جزار,,الاخوين رحبانى,الأخوين رحباني,"تسالين
النجم
دارى
واين
احبابى
وسمارى
دارى
التى
اغفت
ربوه
حالمه
بالمجد
والغار
تفتح
الزهر
خدها
فعطرت
ايام
اذار
ضحيه
الحسن
وكم
فتنه
تجنى
حسناء
معطار
جار
عليها
مدع
بالهوى
جور
عدو
فى
الحمى
ضار
والشعب
حاكم
باسمه
يظلمه
ظلم
سنمار
فى
عينه
دمعه
باك
وفى
راحته
سكين
جزار",negative,0.964360773563385,love
احب الاسماء,احب الاسماء شابه اسمها وافقه او مدانيا اعد الليالى ليله ليله عشت دهرا اعد الليالى فيا رب الحب بينى بينها يكون كفافا لى وقد يجمع الله الشتيتين بعدما يظنان الظن ان تلاقيا تذكرت ليلى والسنين الخواليا وايام نخشى اللهو ناهيا ويوم كظل الرمح قصرت ظله بليلى فلهانى كنت لاهيا بثمدين لاحت نار ليلى وصحبتى بذات الغضى تزجى المطى النواجيا فقال بصير القوم لمحه كوكب بدا فى سواد الليل فردا يمانيا فقلت نار ليلى توقدت بعليا تسامى ضوءها فبداليا فليت ركاب القوم تقطع الغضى وليت الغضى ماشى الركاب لياليا فيا ليل حاجه لى مهمه اذا جئتكم بالليل ادر وقد يجمع الله الشتيتين بعدما يظنان الظن ان تلاقيا لحا الله اقواما يقولون اننى وجدت طوال الدهر للحب شافيا فشب بنو ليلى وشب بنو ابنها واعلاق ليلى فى فؤادى ولم ينسنى ليلى افتقار غنى توبه احتظنت السواريا خليلى والله املك الذى قضى الله فى ليلى قضى ليا قضاها لغيرى وابتلانى بحبها فهلا بشيء ليلى ابتلانيا فهذى شهور الصيف عنا انقضت فما للنوى ترمى بليلى المراميا فلو واش باليمامه داره ودارى باعلى حضرموت اهتدى ليا اعد الليالى ليله ليله وقد عشت دهرا اعد اللياليا واخرج البيوت لعلنى احدث عنك النفس بالليل خاليا ارانى اذا صليت يممت نحوها بوجهى المصلى ورائيا بى اشراك حبها وعظم الجوى اعيا الطبيب المداويا احب الاسماء وافق اسمها او اشبهه او مدانيا خليلى ارجو العيش بعدما ارى حاجتى تشرى تشترى ليا خليلى ان ضنوا بليلى فقربا النعش والاكفان واستغفرا ليا,1999.0,محمد محسن,قيس بن الملوح,"احب
الاسماء
شابه
اسمها
وافقه
او
مدانيا
اعد
الليالى
ليله
ليله
عشت
دهرا
اعد
الليالى
فيا
رب
الحب
بينى
بينها
يكون
كفافا
لى
وقد
يجمع
الله
الشتيتين
بعدما
يظنان
الظن
ان
تلاقيا
تذكرت
ليلى
والسنين
الخواليا
وايام
نخشى
اللهو
ناهيا
ويوم
كظل
الرمح
قصرت
ظله
بليلى
فلهانى
كنت
لاهيا
بثمدين
لاحت
نار
ليلى
وصحبتى
بذات
الغضى
تزجى
المطى
النواجيا
فقال
بصير
القوم
لمحه
كوكب
بدا
فى
سواد
الليل
فردا
يمانيا
فقلت
نار
ليلى
توقدت
بعليا
تسامى
ضوءها
فبداليا
فليت
ركاب
القوم
تقطع
الغضى
وليت
الغضى
ماشى
الركاب
لياليا
فيا
ليل
حاجه
لى
مهمه
اذا
جئتكم
بالليل
ادر
وقد
يجمع
الله
الشتيتين
بعدما
يظنان
الظن
ان
تلاقيا
لحا
الله
اقواما
يقولون
اننى
وجدت
طوال
الدهر
للحب
شافيا
فشب
بنو
ليلى
وشب
بنو
ابنها
واعلاق
ليلى
فى
فؤادى
ولم
ينسنى
ليلى
افتقار
غنى
توبه
احتظنت
السواريا
خليلى
والله
املك
الذى
قضى
الله
فى
ليلى
قضى
ليا
قضاها
لغيرى
وابتلانى
بحبها
فهلا
بشيء
ليلى
ابتلانيا
فهذى
شهور
الصيف
عنا
انقضت
فما
للنوى
ترمى
بليلى
المراميا
فلو
واش
باليمامه
داره
ودارى
باعلى
حضرموت
اهتدى
ليا
اعد
الليالى
ليله
ليله
وقد
عشت
دهرا
اعد
اللياليا
واخرج
البيوت
لعلنى
احدث
عنك
النفس
بالليل
خاليا
ارانى
اذا
صليت
يممت
نحوها
بوجهى
المصلى
ورائيا
بى
اشراك
حبها
وعظم
الجوى
اعيا
الطبيب
المداويا
احب
الاسماء
وافق
اسمها
او
اشبهه
او
مدانيا
خليلى
ارجو
العيش
بعدما
ارى
حاجتى
تشرى
تشترى
ليا
خليلى
ان
ضنوا
بليلى
فقربا
النعش
والاكفان
واستغفرا
ليا",neutral,0.4766746461391449,love
احب دمشق,احب دمشق هوايا الارقا احب جوار بلادى ثرى صبا وداد رعته العيون جميله قامه كحيله احب احب دمشق دمشق بغوطتك الوادعه حنين الى الحب ينتهى كانك حلمى الذى اشتهى هوى ملء قصتك الدامعه تمايل سكرى دمشق كشمس الضحى الطالعه البطولات تنضب تطلع شعب العلى الى المجد بالمشتهى كلل دمشق انت الثرى الطيب غضبت اجمل فكنت السلام اذا يغضب احب احب دمشق,,الاخوين رحبانى,الأخوين رحباني,"احب
دمشق
هوايا
الارقا
احب
جوار
بلادى
ثرى
صبا
وداد
رعته
العيون
جميله
قامه
كحيله
احب
احب
دمشق
دمشق
بغوطتك
الوادعه
حنين
الى
الحب
ينتهى
كانك
حلمى
الذى
اشتهى
هوى
ملء
قصتك
الدامعه
تمايل
سكرى
دمشق
كشمس
الضحى
الطالعه
البطولات
تنضب
تطلع
شعب
العلى
الى
المجد
بالمشتهى
كلل
دمشق
انت
الثرى
الطيب
غضبت
اجمل
فكنت
السلام
اذا
يغضب
احب
احب
دمشق",positive,0.9901238083839417,love
احبك فى صمتى,احبك فى صمتى الوارف وفى رفه الهدب الخائف وبى ملون عمرى اليك حنين الكروم الى القاطف حنين الشحارير الغروب الى رحله الموسم الهاتف ذرى بالندى والبريق تطل كنهر الوهج الصائف احبك حبى سؤال وبعد جمالى غوى او جمال احبك يضل الغمام وينسى الربيع دروب التلال احبك يمل الصدى طواف الربى وعناق الجبال اقول احبك موج حقول وجمع شذى مطل الظلال وقلت الى بيتك الساحر اجيئ القمر الساهر فزينت بيتى وطال انتظارى وغنيت بكى خاطرى وحين سكبت النشيد الاخير وفرفطت عقد الشذى العاطر اتيت فيا حيرتى اقول وكيف الاقيك يازائرى,1958.0,الاخوين رحبانى,الأخوين رحباني,"احبك
فى
صمتى
الوارف
وفى
رفه
الهدب
الخائف
وبى
ملون
عمرى
اليك
حنين
الكروم
الى
القاطف
حنين
الشحارير
الغروب
الى
رحله
الموسم
الهاتف
ذرى
بالندى
والبريق
تطل
كنهر
الوهج
الصائف
احبك
حبى
سؤال
وبعد
جمالى
غوى
او
جمال
احبك
يضل
الغمام
وينسى
الربيع
دروب
التلال
احبك
يمل
الصدى
طواف
الربى
وعناق
الجبال
اقول
احبك
موج
حقول
وجمع
شذى
مطل
الظلال
وقلت
الى
بيتك
الساحر
اجيئ
القمر
الساهر
فزينت
بيتى
وطال
انتظارى
وغنيت
بكى
خاطرى
وحين
سكبت
النشيد
الاخير
وفرفطت
عقد
الشذى
العاطر
اتيت
فيا
حيرتى
اقول
وكيف
الاقيك
يازائرى",positive,0.8066228032112122,love
احبك اشوف,احبك اشوف منك ومهما الناس تقول عنك احبك احبك اشوف اشوف منك تعال جنبى كلمنى عرفت الحب وعرفتك غيابك عنى علمنى اكدب عينى شفتك جفاك زاد دفاك جفاك زاد احبك واقولها اشوف منك ومهما الناس تقول عنك ومهما اشوف اشوف منك اشوف الورد يتمايل الاغصان ويتهنى اقول ريت نتقابل ونرجع للى بيننا زمانك فين نور العين زمانك فين احبك واقولها اشوف منك ومهما الناس تقول عنك ومهما اشوف اشوف منك,1952.0,حليم الرومى,الأخوين رحباني,"احبك
اشوف
منك
ومهما
الناس
تقول
عنك
احبك
احبك
اشوف
اشوف
منك
تعال
جنبى
كلمنى
عرفت
الحب
وعرفتك
غيابك
عنى
علمنى
اكدب
عينى
شفتك
جفاك
زاد
دفاك
جفاك
زاد
احبك
واقولها
اشوف
منك
ومهما
الناس
تقول
عنك
ومهما
اشوف
اشوف
منك
اشوف
الورد
يتمايل
الاغصان
ويتهنى
اقول
ريت
نتقابل
ونرجع
للى
بيننا
زمانك
فين
نور
العين
زمانك
فين
احبك
واقولها
اشوف
منك
ومهما
الناس
تقول
عنك
ومهما
اشوف
اشوف
منك",positive,0.6172628402709961,love
احترف الحزن,احترف الحزن والانتظار ارتقب الاتى ياتى تبددت زنابق الوقت زنابق الوقت عاما وانا وانا احترف الحزن والانتظار عبرت بوابه الدموع الى صقيع الشمس والبرد اهل لى فى خيمتى وحدى فى خيمتى وحدى عاما وانا وانا يسكننى الحنين والرجوع كبرت فى الخارج بنيت اهلا اخرين كالشجر استنبتهم فوقفوا امامى ظل الارض جديد ضربتنا موجه البغض وها انا استوطن الفراغ شردت اهلى مرتين سكنت فى الغياب مرتين ارضى ببالى وانا وانا وانا احترف الحزن والانتظار,1957.0,الاخوين رحبانى,الأخوين رحباني,"احترف
الحزن
والانتظار
ارتقب
الاتى
ياتى
تبددت
زنابق
الوقت
زنابق
الوقت
عاما
وانا
وانا
احترف
الحزن
والانتظار
عبرت
بوابه
الدموع
الى
صقيع
الشمس
والبرد
اهل
لى
فى
خيمتى
وحدى
فى
خيمتى
وحدى
عاما
وانا
وانا
يسكننى
الحنين
والرجوع
كبرت
فى
الخارج
بنيت
اهلا
اخرين
كالشجر
استنبتهم
فوقفوا
امامى
ظل
الارض
جديد
ضربتنا
موجه
البغض
وها
انا
استوطن
الفراغ
شردت
اهلى
مرتين
سكنت
فى
الغياب
مرتين
ارضى
ببالى
وانا
وانا
وانا
احترف
الحزن
والانتظار",negative,0.9558063745498657,sadness
احكيلى حكايه طويله,احكى لى حكايه طويله حكايه جنينات ورا تلات سماها ظليله احكيلى قصه جميله قصه جنى الاطياب عضفه غاب ورودو بخيله قصص الهوى رحلات ليلات الحكى رحلناها قصص الهوى جنات بالحور الهنى زرعناها احكى لى رحله طويله رحله ورا مواعيد بدنيه عيد بالارض الجميله,1958.0,الاخوين رحبانى,الأخوين رحباني,"احكى
لى
حكايه
طويله
حكايه
جنينات
ورا
تلات
سماها
ظليله
احكيلى
قصه
جميله
قصه
جنى
الاطياب
عضفه
غاب
ورودو
بخيله
قصص
الهوى
رحلات
ليلات
الحكى
رحلناها
قصص
الهوى
جنات
بالحور
الهنى
زرعناها
احكى
لى
رحله
طويله
رحله
ورا
مواعيد
بدنيه
عيد
بالارض
الجميله",positive,0.8932295441627502,longing
احكيلى بلدى,احكيلى احكيلى بلدى احكيلى نسيم اللى مارق عالشجر مقابيلى اهلى حكايى بيتى حكايى جار الطفولى حكايى طويلى نسيم اللى مارق عا ارض الغار حلفتك تجى تلعب عندى بهالدار خبرنى انكان بعدو بيذكرنى ببلدى عالسهره ناطرنى ساعات الفرح القليلى حبيبى احكيلى حلفتك خبرنى حال الزيتون الصبى الصبيى بفيى الطاحون اللوزى الارض سمانا هنى بلدنا هوانا زهر الايام البخيلى حبيبى احكيلى,1979.0,الاخوين رحبانى,الأخوين رحباني,"احكيلى
احكيلى
بلدى
احكيلى
نسيم
اللى
مارق
عالشجر
مقابيلى
اهلى
حكايى
بيتى
حكايى
جار
الطفولى
حكايى
طويلى
نسيم
اللى
مارق
عا
ارض
الغار
حلفتك
تجى
تلعب
عندى
بهالدار
خبرنى
انكان
بعدو
بيذكرنى
ببلدى
عالسهره
ناطرنى
ساعات
الفرح
القليلى
حبيبى
احكيلى
حلفتك
خبرنى
حال
الزيتون
الصبى
الصبيى
بفيى
الطاحون
اللوزى
الارض
سمانا
هنى
بلدنا
هوانا
زهر
الايام
البخيلى
حبيبى
احكيلى",negative,0.6202937960624695,love
احلى ليالى المنى,احلى ليالى المنى التقينا الليل حولنا دنيا طيوب والاسمر الجميل الرؤى يميل والمخبا الظليل فى البعد يومى الليل حلو الوعود والروض غض الورود وكل مافى الوجود حان حبنا هذى دروب الغرام طليقه فى الظلام سهرانه تنام حب والاسمر الجميل الرؤى يميل والمخبا الظليل فى البعد يومى,1953.0,الاخوين رحبانى,الأخوين رحباني,"احلى
ليالى
المنى
التقينا
الليل
حولنا
دنيا
طيوب
والاسمر
الجميل
الرؤى
يميل
والمخبا
الظليل
فى
البعد
يومى
الليل
حلو
الوعود
والروض
غض
الورود
وكل
مافى
الوجود
حان
حبنا
هذى
دروب
الغرام
طليقه
فى
الظلام
سهرانه
تنام
حب
والاسمر
الجميل
الرؤى
يميل
والمخبا
الظليل
فى
البعد
يومى",positive,0.5293432474136353,love
اخر السهريه,بالى بعدك حبيبى بالى قصص الهوى وليالى الهوى عم تحفر بقلبى ليالى وبعدك حبيبى بالى اخر السهريى تطلعت عليى وبعينيها شفت النهايى ودعتنى بكلمى ودعتا بكلمى وخلصت الإيام اللى جايى اخر السهريى وراحت الصيفيى وبعينيها لمحت شخص تانى رحت عم اطلع الدنيى تسمع والبواب مسكرا وتعبانى سالونى عيونى ايمتى بنشوفا قلتلن فيى قول فيى قول بعرف تودعنا يمكن لبكرا يمكن لبعدو ويمكن طول يمكن اتودعنا طول,1979.0,الاخوين رحبانى,الأخوين رحباني,"بالى
بعدك
حبيبى
بالى
قصص
الهوى
وليالى
الهوى
عم
تحفر
بقلبى
ليالى
وبعدك
حبيبى
بالى
اخر
السهريى
تطلعت
عليى
وبعينيها
شفت
النهايى
ودعتنى
بكلمى
ودعتا
بكلمى
وخلصت
الإيام
اللى
جايى
اخر
السهريى
وراحت
الصيفيى
وبعينيها
لمحت
شخص
تانى
رحت
عم
اطلع
الدنيى
تسمع
والبواب
مسكرا
وتعبانى
سالونى
عيونى
ايمتى
بنشوفا
قلتلن
فيى
قول
فيى
قول
بعرف
تودعنا
يمكن
لبكرا
يمكن
لبعدو
ويمكن
طول
يمكن
اتودعنا
طول",negative,0.8725172877311707,love
اذا الارض مدوره,ولما القمر غاب وتغرب الليل راحوا الاحباب بميل الارض مدوره حبيبى رح نرجع نتلاقى حبيبى نتلاقى بالبيت بفى القنطره اذا حبيبى الارض مدوره,1972.0,الاخوين رحبانى,الأخوين رحباني,"ولما
القمر
غاب
وتغرب
الليل
راحوا
الاحباب
بميل
الارض
مدوره
حبيبى
رح
نرجع
نتلاقى
حبيبى
نتلاقى
بالبيت
بفى
القنطره
اذا
حبيبى
الارض
مدوره",negative,0.40574198961257935,love
اذكرينى,اذكر الايام حلو الهوى فى حلايا الغاب الجدول كنا الهوى حلو الغوى نتشاكى فى حنين القبل ضمنا الليل بوح طوى فى قلبنا غزل فانا ان اشتكى غر النوى تلمنى حبيبى انتهى اذكرينى الفجر بدا اذكرى الايام ليل السهر اذكرينى الطير شدا حكى للغاب ضوء القمر اذكرينى اذكر عهد الهنا اترى عشت اذا تذكرى جمعنا الليل الغنا حكايات الجمال المزهر حبيبى هرب الليل مشيناها دروب الحلم فلهونا واحات الهنا جلسنا فى ظلال النغم صفا دنيا الورد عشيات خفاف النسم نتهادى نتهادى الغنى طائر فى روض يغتنى,,الاخوين رحبانى,سعيد عقل,"اذكر
الايام
حلو
الهوى
فى
حلايا
الغاب
الجدول
كنا
الهوى
حلو
الغوى
نتشاكى
فى
حنين
القبل
ضمنا
الليل
بوح
طوى
فى
قلبنا
غزل
فانا
ان
اشتكى
غر
النوى
تلمنى
حبيبى
انتهى
اذكرينى
الفجر
بدا
اذكرى
الايام
ليل
السهر
اذكرينى
الطير
شدا
حكى
للغاب
ضوء
القمر
اذكرينى
اذكر
عهد
الهنا
اترى
عشت
اذا
تذكرى
جمعنا
الليل
الغنا
حكايات
الجمال
المزهر
حبيبى
هرب
الليل
مشيناها
دروب
الحلم
فلهونا
واحات
الهنا
جلسنا
فى
ظلال
النغم
صفا
دنيا
الورد
عشيات
خفاف
النسم
نتهادى
نتهادى
الغنى
طائر
فى
روض
يغتنى",positive,0.8289496302604675,love
ارجعى الف ليله,ارجعى الف ليله غيمه العطر فالهوى يروى غليله ندى الفجر ان اشواقى الطويله اغفرت عمرى حكاياكى خميله فى مدى الدهر,,الاخوين رحبانى,رفيق خوري,"ارجعى
الف
ليله
غيمه
العطر
فالهوى
يروى
غليله
ندى
الفجر
ان
اشواقى
الطويله
اغفرت
عمرى
حكاياكى
خميله
فى
مدى
الدهر",negative,0.8562048673629761,longing
بالغار كللت,بالغار كللت ام بالنار شام انت الاميره تعلو بإسمك الهام اواه غمامات مشرده فى الافق روئا البعض احلام سالتهن اظللتنها صبحا شام التى وحدها للعود انغام الهمتنى صوت خلدت يخلد شك السيف مقدام طالعتنى ليال بطولتها حمر تغاوت فى الريح اعلام كانما نضجت خضر المواسم هوى اغانى الاشعار ايام ختام ناس اوائله اذ هب يعتصر العنقود كرام شام سكبك مجد يكون اذا بملئ كفك دفقا افرغ الجام اقول خالد شج الشعر مندفعا وخط طارق البحر رسام شام لبنان حبى انى توجع الشام تغدو حبى الشام,1961.0,الاخوين رحبانى,سعيد عقل,"بالغار
كللت
ام
بالنار
شام
انت
الاميره
تعلو
بإسمك
الهام
اواه
غمامات
مشرده
فى
الافق
روئا
البعض
احلام
سالتهن
اظللتنها
صبحا
شام
التى
وحدها
للعود
انغام
الهمتنى
صوت
خلدت
يخلد
شك
السيف
مقدام
طالعتنى
ليال
بطولتها
حمر
تغاوت
فى
الريح
اعلام
كانما
نضجت
خضر
المواسم
هوى
اغانى
الاشعار
ايام
ختام
ناس
اوائله
اذ
هب
يعتصر
العنقود
كرام
شام
سكبك
مجد
يكون
اذا
بملئ
كفك
دفقا
افرغ
الجام
اقول
خالد
شج
الشعر
مندفعا
وخط
طارق
البحر
رسام
شام
لبنان
حبى
انى
توجع
الشام
تغدو
حبى
الشام",positive,0.7782638072967529,love
بالمح ظلال الحب,بالمح ظلال الحب بعيونه باستلطفه باظهرله خليه يتقلب ظنونه خلى الهوى يوعى مهله الحنين والشك والالام بيصفى الوداد وبتزهر الاحلام وبيرتوى وقلبه الايام وبيهتدى والشوق بيدله بعده هواه مضعضع ومحتار حب وسؤال البعيد ماله قرار خليه بكرا بتكبر الازهار جناتها الخضرا بترسم حاير الامال والاشواق الطف الاحباب والعشاق مشتاق تحكى وقلبنا مشتاق يستسلم لقلبك ويسمع,1955.0,الاخوين رحبانى,الأخوين رحباني,"بالمح
ظلال
الحب
بعيونه
باستلطفه
باظهرله
خليه
يتقلب
ظنونه
خلى
الهوى
يوعى
مهله
الحنين
والشك
والالام
بيصفى
الوداد
وبتزهر
الاحلام
وبيرتوى
وقلبه
الايام
وبيهتدى
والشوق
بيدله
بعده
هواه
مضعضع
ومحتار
حب
وسؤال
البعيد
ماله
قرار
خليه
بكرا
بتكبر
الازهار
جناتها
الخضرا
بترسم
حاير
الامال
والاشواق
الطف
الاحباب
والعشاق
مشتاق
تحكى
وقلبنا
مشتاق
يستسلم
لقلبك
ويسمع",negative,0.6489486694335938,love
ببلدى الاول,ببلدى الاول رحبوا فى وقالوا كتير اشتاقواعلى ببلدى الاول حوم الحمام يفى وعمل لى شمسيه لوحوا بإيديهن سالونى اذا فايقه عليهن سالونى سكبوا الورد وسقيونى ببلدى الاول اه ببلدى ببلدى الاول رجعت بنت صغيره اركض الطرقات واشوف السما كبيره ببلدى الاول رجعت الإيام ورجعت مشاويرى جيره لجيره لوحوا بإيديهن سالونى اذا فايقه عليهن سالونى سكبوا الورد وسقيونى ببلدى الاول اه ببلدى وصوتك ندهنى حملت حالى وجيت قاللى اتركى اهلك حملت حالى وجيت انا عندى وطنين هواهن بكانى وطنى الاول كبرنى وربانى وعيونك حبيبى حبيبى عيونك حبيبى وطنى التانى لوحوا بإيديهن سالونى اذا فايقه عليهن سالونى سكبوا الورد وسقيونى ببلدى الاول اه ببلدى رجعت الملكه سعد الملك ضحكت المملكه وضحك الملك عصفورين عا غصن التقوا عاغصن الزواج عالحب التقوا الملك والملكه بنتركهم يتبادلوا كلام المحبه للملك والملكه,1972.0,الاخوين رحبانى,الأخوين رحباني,"ببلدى
الاول
رحبوا
فى
وقالوا
كتير
اشتاقواعلى
ببلدى
الاول
حوم
الحمام
يفى
وعمل
لى
شمسيه
لوحوا
بإيديهن
سالونى
اذا
فايقه
عليهن
سالونى
سكبوا
الورد
وسقيونى
ببلدى
الاول
اه
ببلدى
ببلدى
الاول
رجعت
بنت
صغيره
اركض
الطرقات
واشوف
السما
كبيره
ببلدى
الاول
رجعت
الإيام
ورجعت
مشاويرى
جيره
لجيره
لوحوا
بإيديهن
سالونى
اذا
فايقه
عليهن
سالونى
سكبوا
الورد
وسقيونى
ببلدى
الاول
اه
ببلدى
وصوتك
ندهنى
حملت
حالى
وجيت
قاللى
اتركى
اهلك
حملت
حالى
وجيت
انا
عندى
وطنين
هواهن
بكانى
وطنى
الاول
كبرنى
وربانى
وعيونك
حبيبى
حبيبى
عيونك
حبيبى
وطنى
التانى
لوحوا
بإيديهن
سالونى
اذا
فايقه
عليهن
سالونى
سكبوا
الورد
وسقيونى
ببلدى
الاول
اه
ببلدى
رجعت
الملكه
سعد
الملك
ضحكت
المملكه
وضحك
الملك
عصفورين
عا
غصن
التقوا
عاغصن
الزواج
عالحب
التقوا
الملك
والملكه
بنتركهم
يتبادلوا
كلام
المحبه
للملك
والملكه",positive,0.7815868258476257,love
برجك عيد,برجك عيد بالبيارق طاير تسلم ايد علت هالعماير خدنى طير عجبال العليه مجد كبير عم شوفه بعينى خير كتير مواسم غنيه ونواطير عالداير عالداير خيال العب عالحفافى جبال الدهر غافى صوت رجال بيقول عوافى والشلال يهدر بالبشاير,1974.0,الاخوين رحبانى,الأخوين رحباني,"برجك
عيد
بالبيارق
طاير
تسلم
ايد
علت
هالعماير
خدنى
طير
عجبال
العليه
مجد
كبير
عم
شوفه
بعينى
خير
كتير
مواسم
غنيه
ونواطير
عالداير
عالداير
خيال
العب
عالحفافى
جبال
الدهر
غافى
صوت
رجال
بيقول
عوافى
والشلال
يهدر
بالبشاير",positive,0.9902817010879517,joy
بعثت روحى,بعثت الروح بعثت روحى وقلت حتروح خد معاك روحى انا خايفه ودى قلبى وتكون ناسينى ناسى حبى انا عاشقه دايما حبيبى روحى ايدك حبيبى,1970.0,زياد الرحبانى,زياد الرحباني,"بعثت
الروح
بعثت
روحى
وقلت
حتروح
خد
معاك
روحى
انا
خايفه
ودى
قلبى
وتكون
ناسينى
ناسى
حبى
انا
عاشقه
دايما
حبيبى
روحى
ايدك
حبيبى",neutral,0.4575434625148773,love
بكى هواك,بكى هواك غناء قيثارى اراك طريق دارى حبيبيا مداه فى نشيدى ووراء شرودى القاه وفى غناه حكى هواه الا تعود هناء تلقانى وعود مكان هانى بعيد المزار ياصديق ساعيش وعمرى قيثار بكى هواك بكى هواك,1955.0,بيغى لى,الأخوين رحباني,"بكى
هواك
غناء
قيثارى
اراك
طريق
دارى
حبيبيا
مداه
فى
نشيدى
ووراء
شرودى
القاه
وفى
غناه
حكى
هواه
الا
تعود
هناء
تلقانى
وعود
مكان
هانى
بعيد
المزار
ياصديق
ساعيش
وعمرى
قيثار
بكى
هواك
بكى
هواك",positive,0.6343356966972351,love
بيسان,كانت زمان بياره جميله ضيعه ظليله ينام فى افيائها ضيعتنا اسمها بيسان خذونى الى بيسان الى ضيعتى الشتائيه يشيع الحنان الحفافى الرماديه خذونى الى الظهيرات الى غفوه بابى مدت علات اعانق صمت التراب اذكر بيسان ملعب الطفوله افيائك الخجوله شئ باب شباكان بيتنا فى بيسان خذونى الحساسين الى الظلال التى تبكى رفوف العائدين حنين تحكى خذونى الى بيسان,1956.0,الاخوين رحبانى,الأخوين رحباني,"كانت
زمان
بياره
جميله
ضيعه
ظليله
ينام
فى
افيائها
ضيعتنا
اسمها
بيسان
خذونى
الى
بيسان
الى
ضيعتى
الشتائيه
يشيع
الحنان
الحفافى
الرماديه
خذونى
الى
الظهيرات
الى
غفوه
بابى
مدت
علات
اعانق
صمت
التراب
اذكر
بيسان
ملعب
الطفوله
افيائك
الخجوله
شئ
باب
شباكان
بيتنا
فى
بيسان
خذونى
الحساسين
الى
الظلال
التى
تبكى
رفوف
العائدين
حنين
تحكى
خذونى
الى
بيسان",negative,0.9148387312889099,longing
بيتى انا بيتك,بيتى انا بيتك الى حدا كتر ماناديتك وسع المدى نطرتك بابى وع البواب كتبتلك عذابى شمس الغياب لاتهملنى لاتنسانى ماالى غيرك لاتنسانى بلدى صارت منفى طرقاتى غطاها الشوك والاعشاب البريه ابعتلى بهاالليل عندك حدا يطل عليى لاتهملنى لاتنسان ياشمس المساكين ارض الخوف منندهلك ياشمس المساكين ايام المظلومين لفتات الموعودين عم اندهلك خلى يضوى صوتك عليى وانا عالوعد وقلبى طاير صوبك غنيه انا زهره زهورك باركنى ساعدنى بالدمع بتزرعنى بالفرح بتحصدنى عدلك فاض عليى كرمك ضوانى اذا كلن نسيونى وحدك مابتنسانى ناديتك حزنى عرفت انك معى وسعى مطارح ويا ارض اركعى,1972.0,الاخوين رحبانى,الأخوين رحباني,"بيتى
انا
بيتك
الى
حدا
كتر
ماناديتك
وسع
المدى
نطرتك
بابى
وع
البواب
كتبتلك
عذابى
شمس
الغياب
لاتهملنى
لاتنسانى
ماالى
غيرك
لاتنسانى
بلدى
صارت
منفى
طرقاتى
غطاها
الشوك
والاعشاب
البريه
ابعتلى
بهاالليل
عندك
حدا
يطل
عليى
لاتهملنى
لاتنسان
ياشمس
المساكين
ارض
الخوف
منندهلك
ياشمس
المساكين
ايام
المظلومين
لفتات
الموعودين
عم
اندهلك
خلى
يضوى
صوتك
عليى
وانا
عالوعد
وقلبى
طاير
صوبك
غنيه
انا
زهره
زهورك
باركنى
ساعدنى
بالدمع
بتزرعنى
بالفرح
بتحصدنى
عدلك
فاض
عليى
كرمك
ضوانى
اذا
كلن
نسيونى
وحدك
مابتنسانى
ناديتك
حزنى
عرفت
انك
معى
وسعى
مطارح
ويا
ارض
اركعى",positive,0.6597973108291626,love
بيتنا فى الجزيره,بيتنا فى الجزيره ضفاف النيل افيائه الوثيره ينسجها النخيل شباكه موله بالفلك المطله مقبله عبر بعيد تمر امامى بيضاء كالغمامى اجنحه فى موكب سعيد بيتنا فى الجزيره ضفاف النيل جنته الصغيره حما هوى جميل فلك تجئ وقربنا تفئ تحكى المسالك الطوال انت الصباح اغنيه الرياح وقصه الخيرات والغلال,1958.0,الاخوين رحبانى,الأخوين رحباني,"بيتنا
فى
الجزيره
ضفاف
النيل
افيائه
الوثيره
ينسجها
النخيل
شباكه
موله
بالفلك
المطله
مقبله
عبر
بعيد
تمر
امامى
بيضاء
كالغمامى
اجنحه
فى
موكب
سعيد
بيتنا
فى
الجزيره
ضفاف
النيل
جنته
الصغيره
حما
هوى
جميل
فلك
تجئ
وقربنا
تفئ
تحكى
المسالك
الطوال
انت
الصباح
اغنيه
الرياح
وقصه
الخيرات
والغلال",positive,0.9792241454124451,joy
